"Add Selected","Add Selected"
"Advanced Product Grid","Advanced Product Grid"
"After Clicking &quot;Apply Changes&quot;","After Clicking &quot;Apply Changes&quot;"
"Allow Actions","Allow Actions"
"Allow Bulk Option Apply","Allow Bulk Option Apply"
"Allow Inline Edit","Allow Inline Edit"
"Allow Reorder Grid Columns","Allow Reorder Grid Columns"
"Apply As","Apply As"
"Apply Configuration","Apply Configuration"
"Ascending","Ascending"
"Attribute","Attribute"
"Attribute %s has been updated. Products updated: %d","Attribute %s has been updated. Products updated: %d"
"Attribute Bulk Apply","Attribute Bulk Apply"
"Attribute have not been saved","Attribute have not been saved"
"Attribute Set Name","Attribute Set Name"
"Cancel","Cancel"
"Categories","Categories"
"Changes have not been applied yet","Changes have not been applied yet"
"Click to edit %s","Click to edit %s"
"Click to sort column","Click to sort column"
"Configuration","Configuration"
"Configure Product Grid","Configure Product Grid"
"Default Sorting","Default Sorting"
"Descending","Descending"
"Do you really want to make changes in all selected products?","Do you really want to make changes in all selected products?"
"Drag to reorder column","Drag to reorder column"
"Drag to reorder column, click to sort","Drag to reorder column, click to sort"
"Editing Disabled","Editing Disabled"
"Editing Method","Editing Method"
"Enable Attribute Filter","Enable Attribute Filter"
"Enabled","Enabled"
"Exact Match","Exact Match"
"General Options","General Options"
"Grid configuration has been saved","Grid configuration has been saved"
"Grid configuration has not been saved","Grid configuration has not been saved"
"ID","ID"
"Images","Images"
"Inline Editing","Inline Editing"
"Please select attribute","Please select attribute"
"Product Grid Configuration","Product Grid Configuration"
"Product Type","Product Type"
"Qty","Qty"
"Reload Grid","Reload Grid"
"Remove Selected","Remove Selected"
"Reset to Defaults","Reset to Defaults"
"Settings have been saved","Settings have been saved"
"Settings have not been saved","Settings have not been saved"
"Show Attributes","Show Attributes"
"Show Configuration Scope","Show Configuration Scope"
"Sorting Order","Sorting Order"
"The Attribute cannot be left blank","The Attribute cannot be left blank"
"The extension has been registered","The extension has been registered"
"The extension is not registered for the website selected. Please register it with an additional S/N.","The extension is not registered for the website selected. Please register it with an additional S/N."
"Use Default","Use Default"
"Website","Website"
"Wrong s/n!","Wrong s/n!"
"You may need to reload the page to resort/refilter the grid [Reload Grid]","You may need to reload the page to resort/refilter the grid [Reload Grid]"
"Your copy of the component is not registered! All functions are disabled. Please register. Enter your S/N to register:","Your copy of the component is not registered! All functions are disabled. Please register. Enter your S/N to register:"